"","Date","CSCO","EBAY","GOOG","MSFT","ÖRCL"
"1",2018-04-01,1.98182013811332,3.37971156164456,3.45612097927998,4.47025433779733,0.109289979695291
"2",2018-03-01,-4.22063528245328,-6.11292332914318,-6.60251304124109,-2.20887308949567,-9.70988507160301
"3",2018-02-01,8.60376632070799,5.61852855502569,-5.57378705647592,-1.30513171566784,-1.40081920385216
"4",2018-01-01,8.45954091907822,7.52517183226435,11.8061844578092,11.0708413877087,9.11591071851525
"5",2017-12-01,2.6809636875737,8.85492984453013,2.44662296830736,2.1380524007428,-3.62821999338789
"6",2017-11-01,10.1678398109251,-7.89054484300067,0.469188496382379,1.19018837452709,-3.23475364296328
"7",2017-10-01,1.54623170195778,-2.13208533884777,5.99827245047396,11.666005275092,5.27405834926377
"8",2017-09-01,4.40857401114376,6.44892868948441,2.10575278571131,0.156304779494355,-3.93405132738978
"9",2017-08-01,3.37339235799614,1.11951021550519,0.948954003224073,2.84730667713644,1.18136199795105
"10",2017-07-01,0.47923579658393,2.31959348909469,2.39565332707523,5.46931674275229,-0.418838183844051
"11",2017-06-01,-0.729470923717238,1.80757731217427,-5.81742489818355,-0.737248755398519,10.4648625223073
